Area,Year,Dollars
Brazil,1991,34612966
Brazil,1992,37680903
Brazil,1993,43841615
Brazil,1994,69572134
Brazil,1995,74592332
Brazil,1996,70815611
Brazil,1997,73507131
Brazil,1998,73473442
Brazil,1999,55604012
Brazil,2000,62272942
Brazil,2001,54744193
Brazil,2002,52171574
Brazil,2003,66361116
Brazil,2004,80819301
Brazil,2005,93040740
Brazil,2006,104589713
Brazil,2007,147846121
Brazil,2008,191372597
Brazil,2009,174318274
Brazil,2010,218848157
Brazil,2011,282824462
Brazil,2012,269819956
Brazil,2013,288586446
Brazil,2014,296760843
Brazil,2015,227383038
Brazil,2016,217580749
Brazil,2017,243443861
Brazil,2018,184560035
China,1991,162676858
China,1992,180503937
China,1993,218111299
China,1994,223290610
China,1995,336661145
China,1996,402870657
China,1997,380444825
China,1998,382573662
China,1999,343760098
China,2000,367052319
China,2001,348091343
China,2002,362284570
China,2003,432309802
China,2004,537352149
China,2005,580149719
China,2006,635789840
China,2007,773692350
China,2008,992436046
China,2009,977803104
China,2010,1106766812
China,2011,1471765681
China,2012,1531384977
China,2013,1611607698
China,2014,1449952048
China,2015,1476055934
China,2016,1497893030
China,2017,1344205531
China,2018,1030182317
France,1991,72484827
France,1992,72335450
France,1993,61706404
France,1994,66364130
France,1995,73605061
France,1996,73947162
France,1997,70052661
France,1998,67750688
France,1999,62832451
France,2000,54086390
France,2001,52167704
France,2002,54290462
France,2003,63141379
France,2004,68805865
France,2005,68695448
France,2006,72429260
France,2007,84263726
France,2008,92997246
France,2009,80045677
France,2010,85323498
France,2011,96354268
France,2012,94140454
France,2013,94840604
France,2014,95122916
France,2015,80718561
France,2016,78672460
France,2017,81713529
France,2018,88056804
India,1991,92425795
India,1992,90863018
India,1993,86847764
India,1994,95047004
India,1995,104360047
India,1996,108866048
India,1997,108696821
India,1998,102623054
India,1999,109230250
India,2000,105004149
India,2001,105554476
India,2002,100885384
India,2003,121139635
India,2004,139638832
India,2005,158508007
India,2006,181537332
India,2007,256052210
India,2008,260320129
India,2009,255069454
India,2010,343686449
India,2011,389483844
India,2012,377479342
India,2013,343676959
India,2014,367334342
India,2015,365903196
India,2016,381851008
India,2017,439256449
India,2018,435488155
USA,1991,200720310
USA,1992,207908805
USA,1993,210041499
USA,1994,216821308
USA,1995,218931664
USA,1996,253366597
USA,1997,238980854
USA,1998,227995840
USA,1999,225391692
USA,2000,229740473
USA,2001,242110633
USA,2002,227732945
USA,2003,262552260
USA,2004,294230436
USA,2005,289057865
USA,2006,291295636
USA,2007,366376493
USA,2008,378124042
USA,2009,342674892
USA,2010,404569426
USA,2011,460309090
USA,2012,485168635
USA,2013,489163911
USA,2014,522011893
USA,2015,461926867
USA,2016,323522080
USA,2017,338449374
USA,2018,451920967
