Area,Year,Kilotonnes
Brazil,1961,3813.6222
Brazil,1962,3932.8829
Brazil,1963,4085.2569
Brazil,1964,4242.3628
Brazil,1965,4410.4312
Brazil,1966,4508.0844
Brazil,1967,4654.0167
Brazil,1968,4805.8836
Brazil,1969,4966.6272
Brazil,1970,5137.2613
Brazil,1971,5310.2311
Brazil,1972,5555.4735
Brazil,1973,5718.889
Brazil,1974,6024.1117
Brazil,1975,6224.1408
Brazil,1976,6842.5083
Brazil,1977,7134.5685
Brazil,1978,7085.2173
Brazil,1979,7230.8402
Brazil,1980,7873.3016
Brazil,1981,8033.7565
Brazil,1982,8134.7177
Brazil,1983,8104.2342
Brazil,1984,8346.3972
Brazil,1985,8365.0772
Brazil,1986,8668.4439
Brazil,1987,8911.3601
Brazil,1988,9144.4767
Brazil,1989,9378.6739
Brazil,1990,10130.2113
Brazil,1991,10455.8119
Brazil,1992,10622.3512
Brazil,1993,10626.5437
Brazil,1994,10821.0223
Brazil,1995,11006.6961
Brazil,1996,10782.2435
Brazil,1997,11125.2942
Brazil,1998,12017.2825
Brazil,1999,11730.5863
Brazil,2000,10922.7311
Brazil,2001,11372.2842
Brazil,2002,12238.4446
Brazil,2003,12696.4454
Brazil,2004,13367.2882
Brazil,2005,13684.9685
Brazil,2006,13137.9672
Brazil,2007,13486.5553
Brazil,2008,12937.8329
Brazil,2009,12928.8613
Brazil,2010,14078.8462
Brazil,2011,13501.7584
Brazil,2012,13662.1332
Brazil,2013,13299.2518
Brazil,2014,13525.4391
Brazil,2015,13885.8408
Brazil,2016,13899.5566
Brazil,2017,13909.2828
Brazil,2018,13356.9658
Brazil,2019,13784.8003
China,1961,8813.4245
China,1962,8826.5366
China,1963,9134.8915
China,1964,9797.6081
China,1965,10077.2291
China,1966,10482.8395
China,1967,10694.6732
China,1968,10728.9639
China,1969,10868.023
China,1970,11168.8555
China,1971,11802.0609
China,1972,12021.7051
China,1973,12055.1067
China,1974,12222.2901
China,1975,12292.9301
China,1976,12418.6575
China,1977,12177.6708
China,1978,11949.3618
China,1979,11924.6936
China,1980,12077.0894
China,1981,11967.6748
China,1982,11980.2118
China,1983,12171.7952
China,1984,12199.7433
