Area,Item,Year,Value,Percent
Brazil,Agricultural land,1961,18.78,0.1878
Brazil,Agricultural land,1962,19.22,0.1922
Brazil,Agricultural land,1963,19.67,0.1967
Brazil,Agricultural land,1964,20.11,0.2011
Brazil,Agricultural land,1965,20.55,0.2055
Brazil,Agricultural land,1966,21,0.21
Brazil,Agricultural land,1967,21.44,0.2144
Brazil,Agricultural land,1968,21.88,0.2188
Brazil,Agricultural land,1969,22.33,0.2233
Brazil,Agricultural land,1970,22.77,0.2277
Brazil,Agricultural land,1971,23.19,0.2319
Brazil,Agricultural land,1972,23.61,0.2361
Brazil,Agricultural land,1973,24.03,0.2403
Brazil,Agricultural land,1974,24.45,0.2445
Brazil,Agricultural land,1975,24.87,0.2487
Brazil,Agricultural land,1976,25.46,0.2546
Brazil,Agricultural land,1977,26.05,0.2605
Brazil,Agricultural land,1978,26.64,0.2664
Brazil,Agricultural land,1979,27.22,0.2722
Brazil,Agricultural land,1980,27.82,0.2782
Brazil,Agricultural land,1981,28.05,0.2805
Brazil,Agricultural land,1982,28.27,0.2827
Brazil,Agricultural land,1983,28.5,0.285
Brazil,Agricultural land,1984,28.73,0.2873
Brazil,Agricultural land,1985,28.95,0.2895
Brazil,Agricultural land,1986,28.78,0.2878
Brazil,Agricultural land,1987,28.61,0.2861
Brazil,Agricultural land,1988,28.44,0.2844
Brazil,Agricultural land,1989,28.27,0.2827
Brazil,Agricultural land,1990,28.1,0.281
Brazil,Agricultural land,1991,27.93,0.2793
Brazil,Agricultural land,1992,27.76,0.2776
Brazil,Agricultural land,1993,27.59,0.2759
Brazil,Agricultural land,1994,27.42,0.2742
Brazil,Agricultural land,1995,27.26,0.2726
Brazil,Agricultural land,1996,27.27,0.2727
Brazil,Agricultural land,1997,27.28,0.2728
Brazil,Agricultural land,1998,27.29,0.2729
Brazil,Agricultural land,1999,27.31,0.2731
Brazil,Agricultural land,2000,27.32,0.2732
Brazil,Agricultural land,2001,27.33,0.2733
