Area,Year,Dollars
Brazil,1991,7777028
Brazil,1992,8091929
Brazil,1993,9885970
Brazil,1994,14821003
Brazil,1995,15879456
Brazil,1996,15263268
Brazil,1997,15549757
Brazil,1998,15692299
Brazil,1999,12736926
Brazil,2000,15310046
Brazil,2001,13367462
Brazil,2002,12042841
Brazil,2003,14446274
Brazil,2004,19156818
Brazil,2005,23094696
Brazil,2006,25338989
Brazil,2007,36386751
Brazil,2008,44841718
Brazil,2009,40917868
Brazil,2010,52115520
Brazil,2011,64156072
Brazil,2012,61034204
Brazil,2013,67271200
Brazil,2014,73898199
Brazil,2015,59050195
Brazil,2016,51576688
Brazil,2017,54878707
Brazil,2018,41827402
China,1991,21101427
China,1992,23762909
China,1993,28911404
China,1994,33254712
China,1995,59548541
China,1996,55948028
China,1997,68062949
China,1998,68865647
China,1999,58227606
China,2000,59818037
China,2001,64320723
China,2002,65088803
China,2003,75043617
China,2004,95454035
China,2005,99153771
China,2006,98347520
China,2007,140596082
China,2008,198578581
China,2009,180286201
China,2010,194145659
China,2011,272174345
China,2012,281282478
China,2013,295189762
China,2014,232291900
China,2015,239883290
China,2016,255244454
China,2017,199194728
China,2018,143898764
China,2019,281767631
France,1991,2038896
France,1992,2000409
France,1993,1937370
France,1994,1902976
France,1995,2461692
France,1996,3188010
France,1997,2938472
France,1998,2221456
France,1999,2146888
France,2000,2269096
France,2001,2352644
France,2002,2494097
France,2003,3006901
France,2004,3447358
France,2005,4058527
France,2006,4450830
France,2007,6635310
France,2008,6502597
France,2009,6908722
France,2010,8886087
France,2011,10372575
France,2012,10380778
France,2013,9461779
France,2014,10357740
France,2015,11113718
France,2016,11610397
France,2017,13573569
France,2018,13750551
India,1991,6826065
India,1992,6784526
India,1993,6523721
India,1994,6397801
India,1995,7592589
India,1996,9023105
India,1997,8818151
India,1998,7187869
India,1999,7036051
India,2000,7258758
India,2001,7430262
India,2002,7668432
India,2003,9009819
India,2004,10245532
India,2005,11966402
India,2006,13000017
India,2007,18939654
India,2008,18321622
India,2009,19093725
India,2010,24434886
India,2011,27841972
India,2012,27472731
India,2013,24788274
India,2014,26793332
India,2015,28455710
India,2016,29475986
India,2017,33943446
India,2018,34115638
USA,1991,55826513
USA,1992,55447631
USA,1993,58463551
USA,1994,55975203
USA,1995,54440583
USA,1996,58906651
USA,1997,61550174
USA,1998,56579944
USA,1999,58565251
USA,2000,60867065
USA,2001,65626267
USA,2002,56640094
USA,2003,67267743
USA,2004,78952850
USA,2005,78324461
USA,2006,73063996
USA,2007,81951337
USA,2008,85194267
USA,2009,77483867
USA,2010,89303886
USA,2011,102387323
USA,2012,109458068
USA,2013,115781630
USA,2014,133858979
USA,2015,115982029
USA,2016,258921
USA,2017,259353
USA,2018,110298338
